X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
1985;2019;251205;9;3550308;SP;0;1;58,7;17596,35;36;1296;1;0;0;1;9,78;0 1 1;0;1;0;0;0;0;0;0;3445,69;1 0 0;0;0;1;0;1
1986;2019;251205;9;3550308;SP;1;0;390,2;10218,66;58;3364;1;0;0;1;9,23;1 0 1;0;0;1;0;0;0;0;0;152256,04;1 0 0;0;0;1;0;1
1987;2019;251205;9;3550308;SP;0;0;47,8;2233,4;27;729;1;0;0;1;7,71;0 0 1;1;0;0;0;0;0;0;0;2284,84;1 0 0;0;0;1;0;1
1988;2019;251205;9;3550308;SP;0;0;141,9;4876,71;40;1600;1;0;0;1;8,49;0 0 1;1;0;0;0;0;0;0;0;20135,61;1 0 0;0;0;1;0;1
1989;2019;251205;9;3550308;SP;0;0;60,9;8531,56;30;900;1;0;0;1;9,05;0 0 1;1;0;0;0;0;0;0;0;3708,81;1 0 0;0;0;1;0;1
1990;2019;251205;9;3550308;SP;0;1;18,9;4500;26;676;1;0;0;1;8,41;0 1 1;0;1;0;0;0;0;0;0;357,21;1 0 0;0;0;1;0;1
1991;2019;251205;9;3550308;SP;1;0;207,7;12041,67;43;1849;1;0;0;1;9,40;1 0 1;0;0;1;0;0;0;0;0;43139,29;1 0 0;0;0;1;0;1
1992;2019;251205;9;3550308;SP;1;0;23,4;8426,93;32;1024;1;0;0;1;9,04;1 0 1;0;0;1;0;0;0;0;0;547,56;1 0 0;0;0;1;0;1
1993;2019;251205;9;3550308;SP;1;0;23,7;8396,15;31;961;1;0;0;1;9,04;1 0 1;0;0;1;0;0;0;0;0;561,69;1 0 0;0;0;1;0;1
1994;2019;251205;9;3550308;SP;1;0;89,9;6400,29;32;1024;1;0;0;1;8,76;1 0 1;0;0;1;0;0;0;0;0;8082,01;1 0 0;0;0;1;0;1
1996;2019;251205;9;3550308;SP;1;0;33,8;6804,34;41;1681;1;0;0;1;8,83;1 0 1;0;0;1;0;0;0;0;0;1142,44;1 0 0;0;0;1;0;1
2000;2019;251205;9;3550308;SP;1;0;234,8;5522,68;41;1681;1;0;0;1;8,62;1 0 1;0;0;1;0;0;0;0;0;55131,04;1 0 0;0;0;1;0;1
2001;2019;251205;9;3550308;SP;0;0;23,5;6722,22;28;784;1;0;0;1;8,81;0 0 1;1;0;0;0;0;0;0;0;552,25;1 0 0;0;0;1;0;1
2002;2019;251205;9;3550308;SP;0;1;3,7;3201;25;625;1;0;0;1;8,07;0 1 1;0;1;0;0;0;0;0;0;13,69;1 0 0;0;0;1;0;1
2003;2019;251205;9;3550308;SP;0;0;176,9;10056,21;39;1521;1;0;0;1;9,22;0 0 1;1;0;0;0;0;0;0;0;31293,61;1 0 0;0;0;1;0;1
2005;2019;251205;9;3550308;SP;1;1;3,2;1401;26;676;1;0;0;1;7,24;1 1 1;0;0;0;1;0;0;0;0;10,24;1 0 0;0;0;1;0;1
2006;2019;251205;9;3550308;SP;1;0;224,4;8872,15;40;1600;1;0;0;1;9,09;1 0 1;0;0;1;0;0;0;0;0;50355,36;1 0 0;0;0;1;0;1
2007;2019;251205;9;3550308;SP;0;0;352,8;12166,43;52;2704;1;0;0;1;9,41;0 0 1;1;0;0;0;0;0;0;0;124467,84;1 0 0;0;0;1;0;1
2008;2019;251205;9;3550308;SP;0;0;284,9;24410;78;6084;1;0;0;1;10,10;0 0 1;1;0;0;0;0;0;0;0;81168,01;1 0 0;0;0;1;0;1
2009;2019;251205;9;3550308;SP;0;1;4,8;3200;30;900;1;0;0;1;8,07;0 1 1;0;1;0;0;0;0;0;0;23,04;1 0 0;0;0;1;0;1
2010;2019;251205;9;3550308;SP;0;1;2;9010;29;841;1;0;0;1;9,11;0 1 1;0;1;0;0;0;0;0;0;4;1 0 0;0;0;1;0;1
2011;2019;251205;9;3550308;SP;0;0;77,9;5121,24;30;900;1;0;0;1;8,54;0 0 1;1;0;0;0;0;0;0;0;6068,41;1 0 0;0;0;1;0;1
2012;2019;251205;9;3550308;SP;0;0;77,5;19098,11;62;3844;1;0;0;1;9,86;0 0 1;1;0;0;0;0;0;0;0;6006,25;1 0 0;0;0;1;0;1
2013;2019;251205;9;3550308;SP;1;1;17,9;8193,68;40;1600;1;0;0;1;9,01;1 1 1;0;0;0;1;0;0;0;0;320,41;1 0 0;0;0;1;0;1
2015;2019;251205;9;3550308;SP;1;0;33;11750,4;26;676;1;0;0;1;9,37;1 0 1;0;0;1;0;0;0;0;0;1089;1 0 0;0;0;1;0;1
2016;2019;251205;9;3550308;SP;0;0;49,9;11275,48;35;1225;1;0;0;1;9,33;0 0 1;1;0;0;0;0;0;0;0;2490,01;1 0 0;0;0;1;0;1
2017;2019;251205;9;3550308;SP;0;1;28,9;7663,51;23;529;1;0;0;1;8,94;0 1 1;0;1;0;0;0;0;0;0;835,21;1 0 0;0;0;1;0;1
2018;2019;251205;9;3550308;SP;0;0;335,9;44918,36;51;2601;1;0;0;1;10,71;0 0 1;1;0;0;0;0;0;0;0;112828,81;1 0 0;0;0;1;0;1
2019;2019;251205;9;3550308;SP;0;1;176,9;5519,96;37;1369;1;0;0;1;8,62;0 1 1;0;1;0;0;0;0;0;0;31293,61;1 0 0;0;0;1;0;1
2020;2019;251205;9;3550308;SP;0;0;112,4;61065,37;53;2809;1;0;0;1;11,02;0 0 1;1;0;0;0;0;0;0;0;12633,76;1 0 0;0;0;1;0;1
2021;2019;251205;9;3550308;SP;1;0;116,8;4894,7;34;1156;1;0;0;1;8,50;1 0 1;0;0;1;0;0;0;0;0;13642,24;1 0 0;0;0;1;0;1
2023;2019;251205;9;3550308;SP;1;0;0,9;3303,62;31;961;1;0;0;1;8,10;1 0 1;0;0;1;0;0;0;0;0;0,81;1 0 0;0;0;1;0;1
2024;2019;251205;9;3550308;SP;1;0;91,9;5376,73;38;1444;1;0;0;1;8,59;1 0 1;0;0;1;0;0;0;0;0;8445,61;1 0 0;0;0;1;0;1
2027;2019;251205;9;3550308;SP;0;0;74,3;28617,72;44;1936;1;0;0;1;10,26;0 0 1;1;0;0;0;0;0;0;0;5520,49;1 0 0;0;0;1;0;1
2028;2019;251205;9;3550308;SP;1;0;9,4;8640,25;44;1936;1;0;0;1;9,06;1 0 1;0;0;1;0;0;0;0;0;88,36;1 0 0;0;0;1;0;1
2029;2019;251205;9;3550308;SP;1;0;143,7;5713,9;37;1369;1;0;0;1;8,65;1 0 1;0;0;1;0;0;0;0;0;20649,69;1 0 0;0;0;1;0;1
